student_id,student_name,course_name,enrollment_date,progress_percentage
101,Alice Smith,Introduction to Python,2026-01-15,85
102,Bob Jones,Data Science Basics,2026-01-20,45
103,,Introduction to Python,2026-02-01,60
104,Charlie Brown,Machine Learning,2026-01-10,12
105,Diana Prince,Data Science Basics,,90
106,Evan Wright,Introduction to Python,2026-02-15,
107,Fiona Gallagher,Machine Learning,2026-01-22,100
108,George Clark,Data Science Basics,2026-02-05,30
109,Hannah Abbott,Introduction to Python,2026-01-18,50
110,Ian Malcolm,Machine Learning,2026-02-10,75
